cityname,min_o3,max_o3,min_pm25,max_pm25,min_pm10,max_pm10,min_so2,max_so2,min_no2,max_no2,min_co,max_co
california/north-counties/santa-rosa/,,,,,,,,,,,,
california/north-counties/napa/,,,,,,,,,,,,
california/north-counties/san-rafael/,,,,,,,,,,,,
california/north-counties/sebastopol/,,,,,,,,,,,,
california/coast-and-central-bay/oakland/,,,,,,,,,,,,
california/coast-and-central-bay/oakland-west/,,,,,,,,,,,,
california/coast-and-central-bay/san-francisco/,,,,,,,,,,,,
california/coast-and-central-bay/san-pablo/,,,,,,,,,,,,
california/eastern-district/concord/,,,,,,,,,,,,
california/eastern-district/livermore/,,,,,,,,,,,,
california/south-central-bay/redwood-city/,,,,,,,,,,,,
california/coast-and-central-bay/laney-college-fwy/,,,,,,,,,,,,
losangeles/los-angeles-north-main-street/,2,55,13,68,15,51,1,2,1,39,3,13
losangeles/north-long-beach-long-beach/,,,,,,,,,,,,
losangeles/reseda/,11,49,18,62,1,30,0,2,1,17,1,5
losangeles/burbank/,,,,,,,,,,,,
losangeles/glendora-laurel/,3,50,1,59,11,35,0,2,0,14,1,4
losangeles/santa-clarita-placerita/,1,71,9,63,1,23,0,2,0,16,1,5
california/riverside/rubidoux-mission-blvd/,0,68,9,61,12,59,0,2,1,28,1,7
california/riverside/riverside-magnolia/,1,117,42,104,32,88,,,4,48,2,10
california/riverside/lake-elsinore-w-flint-street/,1,60,13,72,1,53,0,2,0,27,2,8
california/riverside/banning-airport/,2,64,5,74,,,,,2,26,,
california/san-bernardino/upland/,2,48,18,102,14,55,0,2,1,34,3,8
california/san-bernardino/lake-gregory-crestline/,14,59,13,70,10,45,0,2,2,28,1,7
california/calaveras/san-andreas-gold-strike-road/,5,43,13,74,3,12,,,,,,
california/mariposa/yosemite-village-visitor-center/,,,5,65,1,11,,,,,,
california/nevada/truckee-fire-station/,21,42,9,65,,,,,,,,
california/plumas/chester/,,,13,78,,,,,,,,
california/plumas/portola-nevada-street/,,,,,,,,,,,,
california/plumas/quincy-n-church-street/,,,5,38,,,,,,,,
california/kern/mojave/,24,56,5,89,1,39,,,,,,
california/monterey/king-city-pearl/,6,47,5,38,5,40,,,,,,
california/santa-cruz/santa-cruz-soquel-avenue/,5,40,5,65,,,0,1,3,26,2,7
california/los-angeles/south-long-beach/,0,55,27,82,11,51,0,2,4,36,5,13
california/riverside/mira-loma-van-buren/,2,59,14,67,15,68,0,2,2,25,0,5
california/riverside/temecula-lake-skinner/,21,62,1,70,5,30,,,1,7,2,83
california/san-luis-obispo/cdf-arroyo-grande/,4,38,9,162,12,262,,,2,12,0,4
california/san-luis-obispo/atascadero-lewis-avenue/,,,,,,,,,,,,
california/san-luis-obispo/nipomo-guadalupe-road/,4,38,5,159,11,175,,,1,12,1,3
california/san-luis-obispo/san-luis-obispo-higuera-street/,9,44,13,50,6,24,,,2,12,0,4
california/santa-barbara/goleta-fairview/,6,41,5,34,4,35,,,1,8,2,6
california/santa-barbara/lompoc-south-h-street/,6,40,5,46,1,20,2,2,1,8,3,5
california/santa-barbara/santa-barbara-national-guard-armory/,12,50,5,53,4,32,,,0,16,2,5
california/santa-barbara/santa-maria-south-broadway/,4,38,9,53,2,40,,,1,10,1,3
california/ventura/el-rio-rio-mesa-school--2/,11,35,5,38,1,30,,,2,24,0,3
california/ventura/ojai-east-ojai-av/,2,50,5,50,1,35,,,2,13,2,6
california/ventura/piru-pacific/,7,56,9,59,23,38,,,1,29,0,6
california/san-diego/alpine-victoria-drive/,21,53,3,39,,,,,1,5,,
california/san-diego/camp-pendleton/,15,51,2,45,,,,,1,12,,
california/san-diego/el-cajon-redwood-avenue/,21,47,3,43,,,,,1,7,,
california/san-diego/san-diego-beardsley/,1,29,22,70,,,,,2,27,1,12
california/marin/point-reyes/,,,,,,,,,,,,
california/fresno/clovis-n-villa-avenue/,14,54,3,85,5,64,0,16,2,13,2,4
california/fresno/fresno-drummond-street/,3,47,5,59,6,30,0,16,3,32,2,11
california/fresno/fresno-garland/,2,51,3,100,5,50,0,16,2,25,2,7
california/fresno/huron-4th-street/,12,50,5,42,10,34,,,3,13,,
california/fresno/tranquility/,10,46,5,55,10,79,,,2,18,2,5
california/kern/bakersfield-california-avenue/,0,52,5,68,,,,,2,30,,
california/kern/lebec/,7,61,5,65,,,,,,,,
california/kings/hanford-s-irwin-street/,9,47,5,82,3,81,0,16,2,11,2,5
california/madera/madera-pump-yard/,1,51,5,87,8,41,0,16,0,12,2,5
california/merced/merced-coffee-road/,1,40,5,70,,,,,1,13,2,8
california/san-joaquin/manteca-ams/,5,37,5,59,7,21,,,1,19,1,3
california/san-joaquin/stockton-hazelton/,0,36,5,65,6,30,0,3,2,29,2,8
california/san-joaquin/tracy-airport/,8,43,5,17,1,36,,,0,14,1,4
california/stanislaus/modesto-14th-street/,1,33,17,72,5,45,,,2,19,2,8
california/tulare/porterville/,13,45,5,65,5,34,,,2,12,,
california/tulare/visalia/,8,55,17,87,7,38,,,3,20,,
california/imperial/bombay-beach/,11,40,2,47,3,48,,,,,,
california/imperial/calexico-ethel-street/,28,67,5,74,8,334,0,2,1,17,0,6
california/imperial/naval-test-base/,7,45,1,65,,,,,,,,
california/imperial/sonny-bono/,8,30,7,67,6,62,,,,,,
california/riverside/salton-sea-park/,1,28,1,61,,,,,,,,
california/riverside/torres-martinez/,,,6,48,9,57,,,,,,
california/butte/chico-east-avenue/,7,38,9,53,2,16,,,1,12,2,4
california/butte/gridley/,18,35,21,59,1,13,,,1,12,,
california/colusa/colusa-sunrise-blvd/,13,40,5,30,1,65,,,2,8,,
california/glenn/willows-colusa/,12,42,21,76,2,14,,,1,14,2,3
california/placer/roseville-n-sunrise-ave/,3,40,5,46,4,23,,,2,27,,
california/sacramento/elk-grove-bruceville-road/,4,41,5,53,1,20,0,3,1,6,1,4
california/sacramento/folsom-natoma-street/,21,39,5,30,7,20,,,1,2,,
california/sacramento/sacramento-del-paso-manor/,2,38,5,46,1,20,,,1,13,,
california/sacramento/sacramento-1309-t-street/,4,36,5,30,1,20,,,2,17,,
california/shasta/anderson-north-street/,6,38,9,133,,,,,,,,
california/solano/vacaville-ulatis-drive/,9,37,5,25,1,20,0,1,0,8,4,6
california/sutter/yuba-city/,2,38,5,25,1,10,,,1,18,,
california/yolo/davis-ucd-campus/,20,43,5,82,1,20,,,0,6,,
california/yolo/woodland-gibson-road/,12,42,5,46,1,20,,,0,20,,
california/stanislaus/turlock-s-minaret-street/,8,40,5,50,7,45,,,2,11,2,4
california/orange/anaheim-loara-school/,0,46,4,45,10,51,0,2,3,25,5,12
california/butte/paradise-theater/,9,33,5,59,1,15,,,1,11,2,3
california/ventura/thousand-oaks-moorpark-road/,12,53,5,59,3,23,,,3,28,0,4
california/mendocino/ukiah-library/,,,5,85,,,,,,,,
california/imperial/salton-city/,13,45,1,160,,,,,,,,
california/san-benito/hollister-fairview-road/,10,46,5,50,1,17,,,1,12,2,5
california/imperial/niland-english-road/,7,34,9,57,7,66,,,,,,
